,de1,de2
92,"er ist nicht als »Glücksbringer« gekommen, er hat keine Zeit und keine überflüssige Kraft, um andern zu helfen;","Während die Lieblingsmethode des Surrealisten immer die Photomontage ist, könnte man Kafkas Technik am besten mit der Konstruktion eines Modells vergleichen."
93,"wer solches von ihm geradezu verlangt, »verwirrte seine Wege«Mitgeteilt im Anhang der dritten Ausgabe des »Schlosses«, New York 1946.","Wenn ein Mann ein Haus bauen will oder wenn er ein Haus gut genug kennen will, um seine Festigkeit zu beurteilen, wird er sich eine Blaupause des Gebäudes anfertigen oder sich eine beschaffen.
Kafkas Erzählungen sind solche Aufrisse"
94,Er will nichts als sein eigenes Leben in Ordnung bringen und in Ordnung halten.,sie sind in gewissem Sinn eher das Ergebnis eines Denkprozesses als das bloßer Sinneserfahrung.
95,"Da er im Verfolg dieses Vorhabens, anders als der K. des Prozeß, sich nicht dem scheinbar Notwendigen unterwirft, wird nicht Scham, sondern Erinnerung der Dorfbewohner ihn überleben.   ",
96,Kafkas Welt ist zweifellos eine furchtbare Welt.,"Aufrisse können nur von denen verstanden werden, die fähig und willig sind, sich mit eigener Phantasie die wirklichen Absichten und die zukünftige Ansicht vorzustellen."
97,"Daß sie mehr als ein Albtraum ist, daß sie vielmehr strukturell der Wirklichkeit, die wir zu erleben gezwungen wurden, unheimlich adäquat ist, wissen wir heute vermutlich besser als vor zwanzig Jahren.",
98,"Das Großartige dieser Kunst liegt darin beschlossen, daß sie heute noch so erschütternd wirken kann wie damals, daß der Schrecken der Strafkolonie durch die Realität der Gaskammern nichts an Unmittelbarkeit eingebüßt hat.",
99,"Wäre Kafkas Dichtung wirklich nichts als Prophezeiung eines kommenden Schreckens, so wäre sie genau so billig wie alle andern Untergangsprophetien, mit denen wir seit Beginn unseres Jahrhunderts oder vielmehr seit dem Drittel des 19. Jahrhunderts heimgesucht worden sind.",
100,"Charles Péguy, der selbst oft die zweifelhafte Ehre gehabt hat, unter die Propheten gerechnet zu werden, bemerkte einmal: »Der Determinismus, sofern er überhaupt vorgestellt werden kann, ist vielleicht nichts anderes als das Gesetz der Rückstände.",
101,Hierin liegt eine sehr präzise Wahrheit.,
102,"Insofern Leben ohnehin unausweichlich und natürlicherweise vom Tod beschlossen wird, kann sein Ende allerdings immer vorausgesagt werden.","Im Lichte dieser Erwägungen können wir eine der einfachsten Erzählungen Kafkas betrachten, und zwar eine sehr charakteristische, sie heißt: Eine alltägliche Verwirrung Ein alltäglicher Vorgang: sein Ertragen eine alltägliche Verwirrung."
103,"Der natürliche Weg ist immer der Weg des Untergangs, und eine Gesellschaft, die sich blind der Notwendigkeit der in ihr selbst beschlossenen Gesetze anheimgibt, kann immer nur untergehen.","A hat mit B aus H ein wichtiges Geschäft abzuschließen.
Er geht zur Vorbesprechung nach H, legt den Hin- und Herweg in je zehn Minuten zurück und rühmt sich zu Hause dieser besonderen Schnelligkeit."
104,"Propheten sind notwendigerweise immer Unglückspropheten, weil die Katastrophe immer vorausgesagt werden kann.",
105,Das Wunder ist immer die Rettung und nicht der Untergang,
106,"denn nur die Rettung, und nicht der Untergang, hängt von der Freiheit des Menschen ab und seiner Kapazität, die Welt und ihren natürlichen Ablauf zu ändern.","Da dieser voraussichtlich mehrere Stunden erfordern wird, geht A sehr früh morgens fort."
107,"Der in Kafkas wie unserer Zeit so verbreitete Wahn, daß es die Aufgabe des Menschen sei, sich einem von gleich welchen Mächten vorherbestimmten Prozeß zu unterwerfen, kann den natürlichen Untergang nur beschleunigen, weil in solchem Wahn der Mensch mit seiner Freiheit der Natur und ihrer Untergangstendenz gleichsam zu Hilfe kommt.","Trotzdem aber alle Nebenumstände, wenigstens nach A’s Meinung, völlig die gleichen sind wie am Vortag, braucht er diesmal zum Weg nach H zehn Stunden."
108,"Die Worte des Gefängniskaplans im Prozeß enthüllen die geheime Theologie und den innersten Glauben der Beamten als Glauben in Notwendigkeit überhaupt, und die Beamten sind letztlich die Funktionäre der Notwendigkeit - als ob es der Funktionäre überhaupt bedürfte, um den Untergang und das Verderben zum Funktionieren     zu bringen.","Als er dort ermüdet abends ankommt, sagt man ihm, daß B, ärgerlich wegen A’s Ausbleiben vor einer halben Stunde zu A in sein Dorf gegangen sei und sie sich eigentlich unterwegs hätten treffen müssen."
109,"Als Funktionär der Notwendigkeit wird der Mensch der höchst überflüssige Funktionär des natürlichen Gesetzes des Vergehens, und da er mehr als Natur ist, erniedrigt er sich dadurch zum Werkzeug aktiver Zerstörung.","Man rät A zu warten.
aber in Angst wegen des Geschäftes macht sich sofort auf und eilt nach Hause. 	"
110,"Denn so sicher wie ein von Menschen nach menschlichen Gesetzen erbautes Haus verfallen wird, sobald der Mensch es verläßt und seinem natürlichen Schicksal überläßt, so sicher wird die von Menschen erbaute und nach menschlichen Gesetzen funktionierende Welt wieder ein Teil der Natur werden und ihrem katastrophalen Untergang anheimgegeben sein, wenn der Mensch beschließt, selbst wieder ein Teil der Natur zu werden - ein blindes aber mit höchster Präzision arbeitendes Werkzeug der Naturgesetze.",
111,"Für diesen Sachzusammenhang ist es verhältnismäßig gleichgültig, ob der notwendigkeitsbesessene Mensch an Untergang glaubt oder an Fortschritt.","Zuhause erfährt er, B sei doch schon gleich früh gekommen - gleich nach dem Weggang A’s, ja er habe A im Haustor getroffen, ihn an das Geschäft erinnert, aber A habe gesagt, er hätte jetzt keine Zeit, er müsse jetzt eiligst fort.    
Trotz dieses unverständlichen Verhaltens A"
112,"Wäre Fortschritt wirklich »notwendig«, wirklich ein unvermeidliches, übermenschliches Gesetz, welches alle Zeiten unserer Geschichte gleichermaßen umspannt, und in dessen Netz die Menschheit unentrinnbar gefangen ist, dann könnte man allerdings die Macht und den Gang des Fortschritts nicht besser und exakter beschreiben als in den folgenden Zeilen aus Walter Benjamins Geschichtsphilosophischen Thesen Die »geschichtsphilosophischen Thesen« sind das letzte Werk des Schriftstellers Walter Benjamin, der 1940 an der spanisch-französischen Grenze auf seinem Wege in die zweite Emigration nach Amerika in den Selbstmord getrieben wurde.:",
113,»Der Engel der Geschichte... hat das Antlitz der Vergangenheit zugewendet.,
114,"Wo eine Kette von Begebenheiten vor uns erscheint, da sieht er eine einzige Katastrophe, die unablässig Trümmer auf Trümmer häuft und sie ihm vor die Füße schleudert.",
115,"Er möchte wohl verweilen, die Toten wecken und das Zerschlagene zusammenfügen.",
116,"Aber ein Sturm weht vom Paradiese her, der sich in seinen Flügeln verfangen hat und so stark ist, daß der Engel sie nicht mehr schließen kann.",
117,"Dieser Sturm treibt unaufhaltsam in die Zukunft, der er den Rücken kehrt, während der Trümmerhaufen vor ihm zum Himmel wächst.","’s sei aber B doch hier geblieben, um auf A zu warten."
118,"Das, was wir den Fortschritt nennen, ist dieser Sturm.","Er habe zwar schon oft gefragt, ob A nicht schon wieder zurück sei, befinde sich aber noch oben in A’s Zimmer."
119,"Vielleicht ist der beste Beweis dafür, daß Kafka nicht in die Reihe der neueren Weissager gehört, die Tatsache, daß uns beim Lesen seiner grauenhaftesten und grausamsten Geschichten, die doch alle von der Wirklichkeit inzwischen erfüllt wenn nicht übertroffen worden sind, immer noch das Gefühl der Unwirklichkeit überkommt.","Glücklich darüber, B jetzt noch zu sprechen und ihm alles erklären zu können, läuft A die Treppe hinauf."
120,"Da sind seine Helden, die oft nicht einmal einen Namen haben, sondern nur mit Anfangsbuchstaben geführt werden.","Schon ist er fast oben, da stolpert er, erleidet eine Sehnenzerrung und fast ohnmächtig vor Schmerz, unfähig sogar zu schreien, nur winselnd im Dunkel hört er, wie B - undeutlich ob in großer Ferne oder knapp neben ihm - wütend die Treppe hinunterstampft und endgültig verschwindet.   "
121,"Aber selbst wenn diese verführerische Anonymität nur dem Zufall der Unvollendetheit der Erzählungen geschuldet wäre -, diese Helden sind keinesfalls wirkliche Menschen, Personen, die wir in der wirklichen Welt treffen könnten;",Die Technik scheint hier sehr klar zu sein.
122,"trotz eingehender Schilderungen fehlen ihnen gerade jene einzelnen und einmaligen Eigenschaften, jene kleinen und oft überflüssigen Charakterzüge, die alle zusammen erst einen wirklichen Menschen ausmachen.",
123,"Sie bewegen sich in einer Gesellschaft, in der jedem eine ganz bestimmte Rolle zugewiesen wird, in der jeder durch seinen Beruf gewissermaßen definiert ist; und sie unterscheiden sich von dieser Gesellschaft und nehmen die zentrale Stelle in der Handlung nur dadurch ein, daß sie keinen bestimmten Platz in dieser Welt der Berufstätigen haben, daß ihre Rolle schlechthin unbestimmbar ist.","Weil seine Erzählung aus Faktoren, die zu typisch menschlichen Fehlschlägen beitragen, und nicht aus wirklichen Ereignissen bestehen, erscheinen sie zuerst als wilde und komische Übertreibung wirklicher Vorkommnisse oder wild gewordene, aber unentrinnbare Logik."
124,"Dies aber heißt, daß auch die Nebenpersonen nicht wirkliche Menschen sind.","Alle wesentlichen Umstände, die zu der gewöhnlichen Erfahrung des Fehlschlagens einer Verabredung wie: Übereifer (wodurch A. zu früh fortgeht und B. auf der Treppe übersieht), falsche Konzentration auf Kleinigkeiten (A. denkt an die Reise anstatt an seinen Hauptzweck, B. zu treffen, was sie länger macht als damals, da er sie unaufmerksam zurücklegte) und endlich die typischen mutwilligen Streiche, zu denen sich Dinge und Umstände verschwören, um solches Mißlingen endgültig zu machen - sind in der Erzählung enthalten."
125,Mit Realität im Sinne der realistischen Romane haben diese Erzählungen nichts zu tun.,Sie sind das Rohmaterial des Dichters.
126,"Wenn die Kafkasche Welt auf diesen der äußeren Wirklichkeit abgelauschten Realitätscharakter des realistischen Romans gänzlich verzichtet, so verzichtet sie vielleicht noch radikaler auf jenen der inneren Wirklichkeit abgelauschten Realitätscharakter des psychologischen Romans.","Aus dem, was bisher gesagt wurde, geht hervor, daß der Romanschriftsteller Franz Kafka keine Romane im klassischen Sinn des Wortes, im Sinne des 19. Jahrhunderts, geschrieben hat."
127,"Die Menschen, unter denen sich die Kafkaschen Helden bewegen, haben keine psychologischen Eigenschaften, weil sie außerhalb ihrer Rollen, außerhalb ihrer Stellungen und Berufe gar nicht existieren; und seine Helden haben keine psychologisch definierbaren Eigenschaften, weil sie von ihrem jeweiligen Vorhaben - dem Gewinnen eines Prozesses, der Erreichung von Aufenthalts- und Arbeitserlaubnis und so weiter - vollkommen und bis zum Rande ihrer Seele ausgefüllt sind.","Der Eindruck der Übertreibung verschwindet jedoch vollkommen, wenn wir die Geschichte als das, was sie wirklich ist, betrachten, nicht als Bericht über ein verwirrendes Ereignis, sondern als Urbild der Verwirrung selbst.
Die Basis des klassischen Romans war die Anerkennung der Gesellschaft, Unterwerfung unter das Leben, wie es kommt, die Überzeugung, daß Größe des Schicksals jenseits menschlicher Tugenden und menschlicher Laster ist."
128,"Diese eigenschaftslose Abstraktheit der Kafkaschen Menschen kann leicht verführen, sie für Exponenten von Ideen, für Repräsentanten von Meinungen zu halten, und alle zeitgenössischen Versuche, in das Kafkasche Werk eine Theologie hineinzuinterpretieren, hängen faktisch mit diesem Mißverständnis zusammen.","Er setzt den Niedergang des Staatsbürgers voraus, der während der Französischen Revolution den Versuch gemacht hatte, die Welt nach menschlichen Gesetzen zu regieren."
129,"Sieht man sich demgegenüber die Kafkasche Romanwelt unbefangen und ohne vorgefaßte Meinungen an, so wird schnell klar, daß seine Personen gar nicht die Zeit und gar nicht die Möglichkeit haben, individuelle Eigenschaften auszubilden.","Er zeigte das Wachstum des bürgerlichen Individuums, dem Leben und Welt Schauplatz von Ereignissen geworden war und das sich mehr Ereignisse und Geschehen wünschte, als der gewöhnlich enge und sichere Rahmen seines Lebens ihm bieten konnte."
130,"Wenn sich zum Beispiel in Amerika die Frage erhebt, ob der Oberportier des Hotels nicht vielleicht den Helden mit einer anderen Person versehentlich verwechselt hat, so lehnt der Portier diese Möglichkeit mit der Begründung ab, daß, könnte er Leute miteinander verwechseln, er ja nicht mehr Oberportier bleiben könne;","Heutzutage sind diese Schriftsteller, die immer im Wettbewerb mit der Wirklichkeit standen (sogar wenn sie Wirklichkeit nachahmten) durch den Reporter ersetzt worden.
In unserer Welt haben wirkliche Ereignisse und wirkliche Schicksale die Phantasie der Schriftsteller weit übertroffen.
Das Gegenstück zu der Ruhe und Sicherheit der bürgerlichen Welt, in der das Individuum seinen Teil an Aufregungen und Ereignissen vom Leben erwartete und nie ganz genug davon bekam, waren die großen Männer, die Genies und Ausnahmen, die in den Augen dieser selben Welt die wunderbare und geheimnisvolle Inkarnation von etwas Übermenschlichem darstellten: Schicksal (wie im Falle Napoleons) oder Geschichte (wie im Falle Hegels) oder der Ruf Gottes (wie im Falle Kierkegaards, der sich für ein von Gott gesetztes Beispiel hielt und deshalb für eine »Ausnahme«) oder Notwendigkeit (wie im Falle Nietzsches, der erklärte, er sei eine »Notwendigkeit«)."
131,"sein Beruf besteht ja gerade darin, Menschen nicht miteinander zu verwechseln.","Die höchste Idee des Menschen war der Mensch mit einer Mission, einem Ruf, den er zu erfüllen hatte."
132,Die Alternative ist ganz klar:,"Je größer die Mission, desto größer der Mensch."
133,"entweder ist er ein Mensch, behaftet mit der Fehlbarkeit menschlicher Wahrnehmung und Erkenntnis, oder er ist ein Oberportier und hat dann zum mindesten eine Art übermenschlicher Vollkommenheit in dieser seiner Funktion zu prätendieren.",
134,"Angestellte, die die Gesellschaft zwingt, mit der Präzision der Unfehlbarkeit zu arbeiten, werden darum noch nicht unfehlbar.","Das Einzige, was der Mensch, als solche Inkarnation des Übermenschlichen aufgefaßt, ereichen konnte, war der »amor fati« (Nietzsche), die Liebe zum Schicksal, die bewußte Identifizierung mit dem, was ihm widerfuhr.
Größe wurde nicht mehr in dem geleisteten Werk, sondern im Menschen selbst gesucht;"
135,"Kafkas Beamte, Angestellte, Arbeiter und Funktionäre sind weit davon entfernt, unfehlbar zu sein;","Genie galt nicht mehr als Gabe der Götter, Menschen verliehen, die wesentlich sie selber blieben."
136,aber sie alle handeln unter der Voraussetzung einer übermenschlichen universal-kompetenten Tüchtigkeit.  ,"Die ganze Persönlichkeit war eine Inkarnation des Genies geworden und wurde als solches, nicht mehr als gewöhnlicher Mensch betrachtet."
137,"Der Unterschied zwischen der Kafkaschen und der üblichen Romantechnik besteht darin, daß Kafka den ursprünglichen Konflikt eines Funktionärs zwischen seiner Privatexistenz und seiner Funktion nicht mehr beschreibt, daß er sich nicht mehr dabei aufhält zu erzählen, wie das Amt das Privatleben des Betreffenden und Betroffenen aufgefressen hat, oder wie seine private Existenz, seine Familie zum Beispiel, ihn gezwungen hat, unmenschlich zu werden und sich mit seiner Funktion permanent so zu identifizieren, wie sonst nur der Schauspieler sich mit seiner Rolle identifiziert für die kurze Dauer des Spiels.","Kant, der im Wesentlichen der Philosoph der Französischen Revolution war, definierte Genie noch als »die angeborene Gemütsanlage, durch welche die Natur der Kunst die Regel gibt«."
138,"Kafka konfrontiert uns sofort mit dem Ergebnis einer solchen Entwicklung, denn nur das Ergebnis ist für ihn relevant.","Ich stimme dieser Definition nicht bei, ich glaube vielmehr, daß Genie die Anlage ist, durch die die Menschheit der Kunst die Regel gibt."
139,"Das Vorgeben einer universalen Kompetenz, der Schein einer übermenschlichen Tüchtigkeit ist der verborgene Motor, der die Maschinerie der Vernichtung, in welcher Kafkas Helden gefangen sind, bedient und für den reibungslosen Ablauf des in sich Sinnlosen verantwortlich ist.",Aber das ist unwesentlich.
140,"Das Hauptthema der Kafkaschen Romane ist der Konflikt zwischen einer Welt, die in der Form einer solchen reibungslos funktionierenden Maschinerie dargestellt ist, und einem Helden, der versucht, sie zu zerstören.","Denn was uns in Kants Definition und in seiner weiteren Erklärung auffällt, ist das völlige Fehlen jener leeren Größe, die während des gesamten neunzehnten Jahrhunderts das Genie zum Vorläufer des Übermenschen, einer Art von Ungeheuer, gemacht hat."
141,"Diese Helden wiederum sind nicht einfach Menschen, wie wir ihnen täglich in der Welt begegnen, sondern variierende Modelle eines Menschen überhaupt, dessen einzig unterscheidende Qualität eine unbeirrbare Konzentration auf allgemeinst","Was Kafka so modern und zugleich als so seltsam unter seinen Zeitgenossen der Vorkriegswelt erscheinen läßt, ist gerade seine Weigerung, Dinge an sich »geschehen« zu lassen (zum Beispiel wollte er nicht, daß ihm eine Ehe »widerführe«, wie es bei den Meisten ist), er mochte die Welt nicht, wie sie ihm gegeben war, er mochte nicht einmal die Natur (deren Stabilität nur so lange besteht, wie wir sie in Frieden lassen)."
142,Menschliches ist.,"Er wollte eine Welt in Übereinstimmung mit menschlichen Bedürfnissen und menschlicher Würde aufbauen, eine Welt, in der die Tätigkeit des Menschen von ihm selbst bestimmt und die durch seine Gesetze regiert wird, nicht durch geheimnisvolle Kräfte, die von oben oder unten ausströmen."
143,"Seine Funktion in der Romanhandlung ist immer die gleiche: er entdeckt, daß die Welt und Gesellschaft der Normalität faktisch anormal sind, daß die Urteile der von allen akzeptierten Wohlanständigen faktisch verrückt sind, und daß die Handlungen, welche den Regeln dieses Spiels konform gehen, faktisch alle ruinieren.","Zudem war es sein brennendster Wunsch, einer solchen Welt anzugehören, es lag ihm nichts daran, ein Genie oder die Inkarnation irgend einer Größe zu sein."
144,Der Antrieb der Kafkaschen Helden sind nicht irgendwelche revolutionäre Überzeugungen,"Dies bedeutet natürlich nicht - wie manchmal behauptet wird -, daß Kafka bescheiden gewesen wäre."
145,"er ist einzig und allein der gute Wille, der, fast ohne es zu wissen oder zu wollen, die geheimen Strukturen dieser Welt bloßlegt.  ",
146,"Der Effekt von Unwirklichkeit und Neuartigkeit in der Kafkaschen Kunst des Erzählens ist hauptsächlich seinem Interesse an diesen verdeckten Strukturen und seiner radikalen Desinteressiertheit an den Fassaden, an den Aspekten und dem rein Phänomenalen der Welt geschuldet.",
147,"Es ist darum ganz falsch, Kafka zu den Surrealisten zu zählen.","»Jeder Satz, den ich schreibe, hat Vollendung« - eine einfache Feststellung der Wahrheit, die aber sicher nicht von einem bescheidenen Menschen herrührt."
148,"Während der Surrealist versucht, so viele und widersprechende Aspekte und Ansichten der Wirklichkeit als möglich zu zeigen, erfindet Kafka solche Aspekte völlig frei, verläßt sich hier nie auf die Wirklichkeit, weil sein eigentliches Anliegen nicht Wirklichkeit, sondern Wahrheit ist.","Er war nicht bescheiden, er war demütig."
149,Im Gegensatz zu der bei allen Surrealisten so beliebten Technik der Photomontage könnte man Kafkas Technik noch am ehesten mit der Konstruktion von Modellen vergleichen.,"Um Teil einer solchen Welt zu werden (wie er sie vorsichtig am Schluß, dem »happy end«, seines dritten Romanes Amerika zu beschreiben versuchte), mußte er zuerst die Zerstörung der fehlkonstruierten Welt vorwegnehmen."
150,"So wie ein Mann, der ein Haus bauen oder eines Hauses Stabilität beurteilen will, sich einen Grundriß des Gebäudes anfertigen wird, so konstruiert sich Kafka gleichsam die Grundrisse der bestehenden Welt.","Durch diese vorweggenommene Zerstörung trug er das Bild, die höchste Gestalt des Menschen als Modell guten Willens, des Menschen als »fabricator mundi«, des Welterbauers, der die Fehlkonstruktion beseitigen und seine Welt neu aufbauen kann."
151,Mit einem wirklichen Haus verglichen ist sein Grundriß natürlich etwas sehr »Unwirkliches«,"Weil aber diese Helden nur Modelle guten Willens sind und im Anonymen und in der Abstraktheit des Allgemeinen bleiben und nur in der Funktion, die der gute Wille in unserer Welt haben könnte, gezeigt werden, deswegen scheinen seine Romane eine einzigartige Anziehung zu besitzen, so als ob er sagen wollte: dieser Mensch guten Willens könnte irgendwer und jedermann sein, vielleicht sogar du und ich.     "
152,"aber ohne ihn hätte man das Haus nicht bauen können, ohne ihn kann man die Grundmauern und Pfeiler nicht erkennen, die allein ihm in der wirklichen Welt Bestand verleihen.",
153,"Aus diesem von der Wirklichkeit her konstruierten Grundriß, dessen Auffindung natürlich sehr viel eher das Ergebnis eines Denkprozesses als einer Sinneserfahrung ist, baut Kafka seine Modelle.",
154,"Zu ihrem Verständnis bedarf der Leser der gleichen Einbildungskraft, die am Werke war, als sie entstanden, und er kann dies Verständnis aus der Einbildungskraft her leisten, weil es sich hier nicht um freie Phantasie, sondern um Resultate des Denkens selbst handelt, die als Elemente für die Kafkaschen Konstruktionen benutzt werden.",
155,"Zum ersten Male in der Geschichte der Literatur verlangt ein Künstler von seinem Leser das Wirken der gleichen Aktivität, die ihn und sein Werk trägt.",
156,"Und diese ist nichts anderes als jene Einbildungskraft, die nach Kant »sehr mächtig (ist) in Schaffung gleichsam einer anderen Natur aus dem Stoffe, den ihr die wirkliche gibt«.",
157,"So können auch Grundrisse nur von denen verstanden werden, die fähig und willens sind, sich die Absichten des Architekten und die zukünftigen Aspekte des Gebäudes lebendig vorzustellen.",
158,"Es ist diese Anstrengung einer realen Einbildungskraft, die Kafka überall vom Leser verlangt.",
159,"Deshalb kann der rein passive Leser, wie er von der Tradition des Romans erzogen und gebildet wurde, und dessen einzige Aktivität in der Identifikation mit einer der Romanfiguren besteht, mit Kafka so wenig anfangen.",
160,"Das gleiche gilt für den neugierigen Leser, der aus Enttäuschung über sein eigenes Leben",
161,"Umschau hält nach einer Ersatzwelt, in der Dinge geschehen, die in seinem Leben durchaus nicht vorkommen wollen, oder aus echter Wissensbegierde nach Belehrung ausschaut.",
162,Kafkas Erzählungen werden ihn noch mehr enttäuschen als sein eigenes Leben,
163,"sie enthalten keinerlei Elemente von Tagträumen, und sie bieten weder Rat, noch Belehrung, noch Trost.",
164,"Nur der Leser, der, aus welchen Gründen und in welcher Unbestimmtheit auch immer, selbst auf der Suche nach Wahrheit ist, wird mit Kafka und seinen Modellen etwas anzufangen wissen, und er wird dankbar sein, wenn manchmal auf einer einzigen Seite oder sogar in einem einzigen Satz plötzlich die nackte Struktur ganz banaler Ereignisse sichtbar wird.",
165,"Charakteristisch für diese abstrahierende und nur das Wesentliche bestehenlassende Kunst ist die folgende kleine Erzählung, die noch dazu von einer besonders einfachen und häufigen Begebenheit handelt:   ",
166,Eine alltägliche Verwirrung Ein alltäglicher Vorgang: sein Ertragen eine alltägliche Verwirrung.,
167,A. hat mit B. aus H. ein wichtiges Geschäft abzuschließen.,
168,"Er geht zur Vorbesprechung nach H., legt den Hin- und Herweg in je zehn Minuten zurück und rühmt sich zu Hause dieser besonderen Schnelligkeit.",
169,"Am nächsten Tag geht er wieder nach H., diesmal zum endgültigen Geschäftsabschluß.",
170,"Da dieser voraussichtlich mehrere Stunden erfordern wird, geht A. sehr früh morgens fort.",
171,"Obwohl aber alle Nebenumstände, wenigstens nach A.s Meinung, völlig die gleichen sind wie am Vortag, braucht er diesmal zum Weg nach H. zehn Stunden.",
172,"Als er dort ermüdet abends ankommt, sagt man ihm, daß B., ärgerlich wegen A.s Ausbleiben, vor einer halben Stunde zu A. in sein Dorf gegangen sei und sie sich eigentlich unterwegs hätten treffen müssen.",
173,Man rät A. zu warten.,
174,A. aber in Angst wegen des Geschäftes macht sich sofort auf und eilt nach Hause. 	,
175,"Diesmal legt er den Weg, ohne besonders darauf zu achten, geradezu in einem Augenblick zurück.",
176,"Zu Hause erfährt er, B. sei doch schon gleich früh gekommen - gleich nach dem Weggang A.s, ja er habe A. im Haustor getroffen, ihn an das Geschäft erinnert, aber A. habe gesagt, er habe jetzt keine Zeit, er müsse jetzt eiligst fort.",
177,"Trotz dieses unverständlichen Verhaltens A.s sei aber B. doch hier geblieben, um auf A. zu warten.",
178,"Er habe zwar schon oft gefragt, ob A. nicht schon wieder zurück sei, befinde sich aber noch oben in A.s Zimmer.",
179,"Glücklich darüber, B. jetzt noch zu sprechen und ihm alles erklären zu können, läuft A. die Treppe hinauf.",
180,"Schon ist er fast oben, da stolpert er, erleidet eine Sehnenzerrung und fast ohnmächtig vor Schmerz, unfähig sogar zu schreien, nur winselnd im Dunkel hört er, wie B. - undeutlich ob in großer Ferne oder knapp neben ihm - wütend die Treppe hinunterstampft und endgültig verschwindet.  ",
181,Kafkas Konstruktionstechnik ist hier fast überdeutlich.,
182,"Da sind erst einmal alle wesentlichen Faktoren, die gewöhnlich bei mißglückten Verabredungen ins Spiel kommen:",
183,"Übereifer — A. geht zu früh fort und ist dennoch so hastig, daß er B. auf der Treppe übersieht;",
184,"Ungeduld — A. wird der Weg ungeheuer lang, was zur Folge hat, daß er sich um den Weg mehr kümmert als um sein Ziel, nämlich B. zu treffen;",
185,"Angst und Nervosität — was A. zu der unbedachten Überaktivität des Rückwegs verleitet, wo er doch ruhig die Rückkehr des B. hätte abwarten können;",
186,"all dies bereitet schließlich jene wohl bekannte Tücke des Objekts vor, die vollkommenes Mißlingen immer begleitet, und das endgültige Zerfallen des Verärgerten mit der Welt überhaupt anzeigt und besiegelt.",
187,"Aus diesen allgemeinen Faktoren, und nicht eigentlich aus dem Erlebnis eines spezifischen Ereignisses, konstruiert Kafka die Begebenheit.",
188,"Da keine Wirklichkeit gleichsam mildernd der Konstruktion im Wege steht, können die einzelnen Elemente die ihnen innewohnende komisch-gigantische Größe annehmen, so daß auf den ersten Blick die Geschichte sich wie eine jener phantastischen Münchhausen-Geschichten liest, die Seeleute einander zu erzählen lieben.",
189,"Der Eindruck der Übertreibung verschwindet erst, wenn wir die Geschichte nicht mehr als Report einer wirklichen Begebenheit lesen, nicht als den Bericht über irgend ein Ereignis, das durch Verwirrung zustande kam, sondern als das Modell der Verwirrung selbst, dessen grandiose Logik unsere eigenen begrenzten Erfahrungen mit verwirrten Ereignissen gleichsam verzweifelt nachzuahmen versuchen.",
190,"Diese überaus kühne Umkehrung von Vorbild und Nachahmung, in der, einer jahrtausendalten Tradition zum Trotz, das Gedichtete plötzlich als Vorbild und die Realität als die zur Rechenschaft gezogene Nachahmung erscheint, ist eine der wesentlichen Quellen des Kafkaschen Humors und macht auch diese Geschichte so unbeschreiblich erheiternd, daß sie einen fast über alle bereits verfehlten und noch zu verfehlenden Verabredungen im Leben hinwegzutrösten vermag.",
191,"Denn Kafkas Lachen ist ein unmittelbarer Ausdruck jener menschlichen Freiheit und Unbekümmertheit, die versteht, daß der Mensch mehr ist als sein Scheitern, schon weil er sich eine Verwirrung ausdenken kann, die verwirrter ist als alle wirkliche Konfusion.    ",
192,"Aus dem Gesagten dürfte klar sein, daß der Erzähler Kafka kein Romancier im Sinne des klassischen Romans des 19. Jahrhunderts ist.",
193,"Die Grundlage des klassischen Romans war ein Lebensgefühl, das die Welt und die Gesellschaft grundsätzlich akzeptierte, das sich dem Leben, so wie es gegeben war, unterwarf und das die Größe des Schicksals als Jenseits von Gut und Böse empfand.",
194,"Die Entwicklung des klassischen Romans entsprach dem langsamen Niedergang des citoyen, der in der Französischen Revolution und in der Kantschen Philosophie zum ersten Mal versucht hatte, die Welt mit von Menschen erfundenen Gesetzen zu regieren.",
195,"Seine Blüte war begleitet von der vollen Entfaltung des bürgerlichen Individuums, das die Welt und das Leben als einen Schauplatz von Ereignissen betrachtete und das mehr Sensationen und Geschehnisse zu »erleben« wünschte, als der gewöhnlich enge und gesicherte Rahmen seines eigenen Lebens ihm bieten konnte.",
196,"Alle diese Romanciers, ob sie realistisch die Welt abmalten oder phantastisch sich andere Welten erträumten, standen in ständiger Konkurrenz mit der Wirklichkeit.",
197,"Dieser klassische Roman hat heute in einer besonders in Amerika außerordentlich hoch entwickelten Form des Reportage-Romans geendet, was nur konsequent ist, wenn man bedenkt, daß mit der Realität heutiger Ereignisse und Schicksale wohl keine Phantasie mehr in Konkurrenz zu treten vermag.",
